GEOID,NAME,GEOID10,2018,2017,2016,2015,2014,2013,2010,2000,1990
1500000US210670001011,"Block Group 1, Census Tract 1.01",210670001011,4.43,14.14,17.42,10.78,2.94,22.93,6.37,6.33,1.45
1500000US210670001012,"Block Group 2, Census Tract 1.01",210670001012,2.19,0.96,0.57,0.56,2.37,36.11,1.84,1.17,0.93
1500000US210670001021,"Block Group 1, Census Tract 1.02",210670001021,0,5.47,6.46,6.28,0,1.67,4.13,3.66,1.31
1500000US210670001022,"Block Group 2, Census Tract 1.02",210670001022,2.92,1.99,2.43,3.59,17.75,13.01,2.93,2.11,1.81
1500000US210670002001,"Block Group 1, Census Tract 2",210670002001,1.08,16.75,17.63,12.08,4.02,0.78,3.13,2.45,0.98
1500000US210670002002,"Block Group 2, Census Tract 2",210670002002,4.81,62.07,56,61.85,60.32,4.4,10.9,5.42,0.77
1500000US210670002003,"Block Group 3, Census Tract 2",210670002003,2.93,18.3,19.67,18.64,35.9,0,1.44,0.64,0.33
1500000US210670002004,"Block Group 4, Census Tract 2",210670002004,1.4,30.23,39.76,41.51,43.06,1.56,4.04,4.37,0.64
1500000US210670003001,"Block Group 1, Census Tract 3",210670003001,30.75,5.05,4.89,5.93,5.2,2.88,11.63,5.85,0.26
1500000US210670003002,"Block Group 2, Census Tract 3",210670003002,8.24,1.13,2.99,2.34,2.2,9.87,12.41,5.8,0
1500000US210670003003,"Block Group 3, Census Tract 3",210670003003,5.08,9.57,9.3,4.47,4.48,1.19,7.26,6.91,1.22
1500000US210670003004,"Block Group 4, Census Tract 3",210670003004,9.84,0.83,0,0,0,42.32,6.99,5.08,0.53
1500000US210670004001,"Block Group 1, Census Tract 4",210670004001,15.2,1.49,0,1.72,6.95,17.24,10.2,6.45,0
1500000US210670004002,"Block Group 2, Census Tract 4",210670004002,1.78,2.14,0,2.69,2.73,1.44,2.71,2.67,0
1500000US210670005001,"Block Group 1, Census Tract 5",210670005001,3.73,7.88,5.19,4.9,4.62,5.87,2.49,2.17,1.01
1500000US210670005002,"Block Group 2, Census Tract 5",210670005002,0.88,0,0,0,0,12.69,2.45,0.78,0.53
1500000US210670005003,"Block Group 3, Census Tract 5",210670005003,0,3.77,5.35,2.75,2.53,0,3,1.92,0.23
1500000US210670005004,"Block Group 4, Census Tract 5",210670005004,0,15.99,19.27,17.62,19.36,0.94,4.66,0.89,1.27
1500000US210670006001,"Block Group 1, Census Tract 6",210670006001,1.19,0.92,0.91,2.58,2.07,1.35,0.41,0.71,1.16
1500000US210670006002,"Block Group 2, Census Tract 6",210670006002,6.79,7.77,6.71,6.96,8.21,2.22,0.94,0.64,0.25
1500000US210670006003,"Block Group 3, Census Tract 6",210670006003,1.29,5.15,4.29,5.07,2.27,5.43,1.51,1.14,1.22
1500000US210670007001,"Block Group 1, Census Tract 7",210670007001,4.79,1.32,0,0,0,4.73,1.75,1.11,0.33
1500000US210670007002,"Block Group 2, Census Tract 7",210670007002,1.88,2.5,1.61,1.52,0,10.42,1.5,1.38,0.55
1500000US210670008011,"Block Group 1, Census Tract 8.01",210670008011,3.8,0,0,0,2.24,0,2,0.78,1.19
1500000US210670008021,"Block Group 1, Census Tract 8.02",210670008021,4.63,6.9,8.9,2.36,11.99,0.69,2.18,1.26,1.07
1500000US210670008022,"Block Group 2, Census Tract 8.02",210670008022,2.12,0,0,0,0,4.82,1.14,1.66,4.88
1500000US210670009001,"Block Group 1, Census Tract 9",210670009001,4.69,59.35,52.35,55.73,51.23,7.71,4.11,1.85,0.14
1500000US210670009002,"Block Group 2, Census Tract 9",210670009002,2.81,0,0,0,0,42.59,8.54,5.82,0.55
1500000US210670009003,"Block Group 3, Census Tract 9",210670009003,5.97,2.67,9.42,12,11.9,0,2.16,1.27,0.29
1500000US210670010001,"Block Group 1, Census Tract 10",210670010001,11.86,0,0,0,0,0,6.99,8.01,1.51
1500000US210670010002,"Block Group 2, Census Tract 10",210670010002,1.14,3.22,3.79,3.69,3.09,0.58,4.44,1.99,0.12
1500000US210670011001,"Block Group 1, Census Tract 11",210670011001,47.09,5.94,18.98,27.28,26.59,0,44.37,23.43,0.54
